,prompt_formality,prompt,prediction,language,model,size(B),id,formality,annotator,annotation_id,created_at,updated_at,lead_time
0,Neutral,I, believe it was an activation that gave me an extra 30 minutes on my iPad.. never used it though!  do like to go to the store occasionally to pick up iPad cases.. they have some pretty ugly looking ones that would be an embarrasement!,en,XGLM,7.5,40746.0,Informal,1.0,1376.0,2022-12-15T17:56:54.834439Z,2022-12-15T17:56:54.834439Z,6.364
1,Informal,"did you fell goog because i want to have sex, but you have to be"," 18 and under to watch this content. The following is a list of the best rated sites for teens.
In my post on The Wedding Planner Blog, I told you to make an email campaign with your friends and family that included a link to a survey you could complete to find out what they thought of your idea of the wedding. If you’ve yet to see the results, here’s the story:
After the survey, I sent out a bunch of cards with it as the subject line, a link to the website, and a link to the survey. My response wasn’t what I expected, but I think there’s something there that I can use for my future weddings. Here are the results:
My readers’ response was very",en,BLOOM,3.0,40745.0,Informal,1.0,1375.0,2022-12-15T17:56:38.237049Z,2022-12-15T17:56:47.313946Z,37.17699999999999
2,Formal,"It could be, you just have to choose one and know why you chose that"," one. And what you feel as soon as you look it? You just have to be aware that it can be different. But, most of all, it could be that the picture isn’t the most important one for you.",en,XGLM,7.5,40744.0,Informal,1.0,1374.0,2022-12-15T17:56:07.462067Z,2022-12-15T17:56:07.462067Z,18.193
3,Formal,I most enjoy expressing my feelings to women with poems. Has anyone written one for," me in particular please?
I could tell you what I like about women and what we do that bothers me, but if you were a woman would you want to know these things? I'd rather just go out with you and give you a hug, a hug that says ""I love you"" and tell you just how much I care about you and then we'd see how it goes. :love: :love: :love: :love:
This is good enough for me! I'm sure you're not the first person to think so. I never go out with guys who have no interest in women. I do know that I can just get someone who is willing to give me a hug, but not a woman. And that does not make me stupid",en,BLOOM,3.0,40743.0,Informal,1.0,1373.0,2022-12-15T17:55:49.111904Z,2022-12-15T17:55:49.111904Z,13.806
4,Neutral,We,eLunK@FlameWizard: thanks dude! I've got a few ideas for how to finish the game. I'll post those as soon as I get them.,en,XGLM,2.9,40742.0,Informal,1.0,1372.0,2022-12-15T17:55:35.147908Z,2022-12-15T17:55:35.147908Z,3.57
5,Formal,"If you both feel the same way when you are older, then go for it."," Maybe your other children will understand you the same way. They will know that he truly loves you. If not, well then, it's okay to say I do if he is really interested in you.",en,XGLM,2.9,40741.0,Informal,1.0,1371.0,2022-12-15T17:55:31.422179Z,2022-12-15T17:55:31.422179Z,12.962
6,Formal,The relationship is still happening because neither of you have the courage to end things.," They will end in anger, resentment, hurt or maybe a bit of both. If you would both be courageous enough to admit to your feelings of love and intimacy, perhaps you could make a deal to end the relationship for now.
I can tell you I was angry and hurt but I also felt like a fool for having done it and I have been trying hard to forgive myself but I still feel like I have some kind of responsibility for our relationship because it happened and he still wants to talk to me but he is not really my soul mate. I think maybe we can change our relationship but I still feel bad about him still but I can't get over it. I love him and I want to end things so I can be free to",en,BLOOM,3.0,40740.0,Informal,1.0,1370.0,2022-12-15T17:55:18.311918Z,2022-12-15T17:55:18.311918Z,12.636
7,Informal,"that's too many, and selfish ,indeed.... u just desperate n keep on trying another one","that's too many, and selfish,indeed.... u just desperate n keep on trying another one.i do not think they are trying.. if he is trying, he will tell u... coz if its not going in your way, u will not talk to him..so how can u be desperate???",en,XGLM,7.5,40739.0,Informal,1.0,1369.0,2022-12-15T17:55:05.532373Z,2022-12-15T17:55:05.532373Z,3.385
8,Neutral,They," will ask what you are and why you come here? Not very often. A few months ago the father asked me the same question and when I told him my reasons he asked me what I was doing here so I could look for a job. He said it was because I was from there and I didn’t want to return. I told him, “I’ll do my best to help you and be kind to you. I promise.”",en,XGLM,2.9,40738.0,Informal,1.0,1368.0,2022-12-15T17:55:01.999631Z,2022-12-15T17:55:01.999631Z,12.024
9,Formal,"My girlfriend is the zealous person I know, and I love her more for it."," She’s determined to get the best possible service out of each event, and we’re still in the beginning stages of testing our plans. But what I love about her is she’s willing to push her limits as much as she can and isn’t afraid to do things herself. In fact, when a friend of ours suggested a different venue for our wedding, our first stop was to see how it fared! She’s a do-it-yourself kind of girl, and if you like to get things done, she’s going to be a great spouse.
I was the girl that didn’t need to have a big wedding because I just wanted a good time. I love making people happy on any special occasion, and I want you to feel like",en,BLOOM,7.1,40737.0,Informal,1.0,1367.0,2022-12-15T17:54:49.825188Z,2022-12-15T17:54:49.825188Z,12.678
10,Formal,"Allow him to approach you. If you initiate anything, you will seem obsessed with him."," So, do not think of him as an evil presence, but as a very good soul. Give him a few days to express his feelings.
When it is appropriate to approach a man to ask for his number, say so and give him one. At the same time, do not seem too desperate to get his number. If you tell him you want to chat, make sure you do not ask him for his number immediately. Make sure you have a couple of days before asking his number.
For the guy who is not interested, let him know. This way, you will not seem desperate to get his number. Remember, not everyone has the same perspective as you do. So, if you ask for his number and he says he doesn’t,",en,BLOOM,7.1,40736.0,Informal,1.0,1366.0,2022-12-15T17:54:25.327218Z,2022-12-15T17:54:25.327218Z,16.779
11,Formal,"Advise him of your genuine desires. That's the information relayed, but an action not attempted."," This way the person won't make a guess about your intentions and be disappointed when their hopes aren't met.
In the case where the person is a friend, you can also make the conversation less direct. For example, a guy can say ""Hey, this weekend I was looking forward to going out with you but it's been busy. I'll see you in a week.""",en,BLOOM,7.1,40735.0,Informal,1.0,1365.0,2022-12-15T17:54:08.384766Z,2022-12-15T17:54:08.384766Z,19.848
12,Informal,"YES all i can say.. but yes, i have long black hair and im proud!!"," its my own and i am proud of that, its beautiful and thats all im going to say about it.. im so happy my mom can see it, thats all.
The world over, many religions and faith groups are beginning to recognize how important it is for children to come to the knowledge of Jesus. The Bible is full of instruction and encouragement to parents and others for developing a relationship with Jesus. For many years, parents have been encouraged to read the Bible to their children, but they have done so with a limited understanding that their children would be learning about the things of God as the result of these discussions. Now parents see the necessity of teaching their children the Bible and other religious literature.
The importance of teaching children to know and understand the",en,BLOOM,7.1,40734.0,Informal,1.0,1364.0,2022-12-15T17:53:48.362962Z,2022-12-15T17:53:48.362962Z,10.032
13,Informal,"again, i know once u have sex with him, he is no longer a good"," person but a bad person. That is how i feel. I would rather date a woman and have a good relationship then to date a man and have bad relationship. Im just so tired of this guy and his bs.. what is the name of the game? I am not saying that if u can prove it in a court of law. I am simply saying that if u can prove that he actually committed a crime and not only lying to u, I would take that as my number one priority. But i would want to know the true of the story, the whole truth and nothing but the truth.
i feel like its a vicious circle because if u tell the truth and u can prove it and he gets caught it is all about how much",en,BLOOM,7.1,40733.0,Informal,1.0,1363.0,2022-12-15T17:53:38.176619Z,2022-12-15T17:53:38.176619Z,19.884
14,Formal,"If you do not obey men like this, they typically become the sort who beat","s you up for taking it too far. The good news is, there are ways to break away and find your strength and willpower that makes it possible to walk away from such bullies and keep your identity separate from theirs.",en,XGLM,2.9,40732.0,Formal,1.0,1362.0,2022-12-15T17:53:18.138191Z,2022-12-15T17:53:18.138191Z,14.91
15,Neutral,The, University of Edinburgh's Student Unions Association said the association and student groups are taking steps to secure any funding that may be available for a further review of the contract.,en,XGLM,2.9,40731.0,Formal,1.0,1361.0,2022-12-15T17:53:03.074285Z,2022-12-15T17:53:03.074285Z,3.871
16,Informal,so you might just be over looking the type of men who think the world," of the woman that they’ve met on a dating site for that purpose.
I want to say it again… if you’re looking for a “just hook up” type relationship or a casual friend, please avoid these sites and be more cautious with whom you choose to date.
This entry was posted in dating, feminism and tagged sex, women and feminism. Bookmark the permalink.
As mentioned by the OP, he is a ‘cheater’ who is a perversion of our culture, our society, and our humanity. He and the women he has slept with are all ‘victims’ of the man and the system, not women.
I want to reiterate my thoughts from the very beginning of this article: The femin",en,BLOOM,7.1,40730.0,Informal,1.0,1360.0,2022-12-15T17:52:59.046097Z,2022-12-15T17:52:59.046097Z,5.953
17,Informal,it a two way traffic until you get them you will know which one it, is...you can also get help from a company like theft defense service.com They can help you and keep you safe. And if you have more questions about this just email them.,en,XGLM,2.9,40729.0,Formal,1.0,1359.0,2022-12-15T17:52:52.881122Z,2022-12-15T17:52:52.881122Z,9.238
18,Formal,The time elapsed equals more than six months and it seems I'm unable to move," forward and make changes. Should I still do what I'm doing?
Thanks

A:

If you don't have time to go for an exam you can ask your tutor for help with it. You can also look for your own tutors, which can be quite expensive. 
But I would advise you to have some discussions with your tutor to make sure you aren't putting it off. You can also ask around for any advice to look after you personally if the exams get too tough. You should check to see what your tutor suggests and make sure you do whatever you can to help. In other words do everything you can to avoid this happening.
In your case, if you are in an exam this may be a sign that you need to do something more. I",en,BLOOM,3.0,40728.0,Informal,1.0,1358.0,2022-12-15T17:52:43.480510Z,2022-12-15T17:52:43.480510Z,494.117
19,Neutral,We,'d love to have you on board! Sign up for our newsletter and get a free eBook with your membership!....,en,XGLM,7.5,40727.0,Incohesive,1.0,1357.0,2022-12-15T17:44:28.888540Z,2022-12-15T17:44:28.888540Z,22.448
20,Informal,i have a problem of unloading all my junk up front and maybe i told," the wrong guy.
what kind of stuff do u unload?
i don't know.
i'm the only guy who handles it.
i'm the only guy that can do it.
i told you guys, i don't know anything about unloading.
i'm gonna go and find a truck to help me unload it.
thank you for your help.
don't mention it.
i'm really flattered by what you say.
well, have fun.
i don't know why you would be interested.
we don't do stuff like that.
just don't mention it.
and i don't know why u wanted to see me.
i think it has something to do with your wife.
she's really nice.
she's real nice.
sweetie, honey, please",en,BLOOM,7.1,40726.0,Informal,1.0,1356.0,2022-12-15T17:43:59.155384Z,2022-12-15T17:43:59.155384Z,7.403
21,Formal,"Well, if it was prior to his relationship with you, then obviously he was not"," ready for you, at that time. You were way too young. It will take longer for him to get over the fact that you’re no longer his mate. In the meantime, you’re more of a friend than the girlfriend. You have a good head on your shoulders, and are not overly concerned with his sexuality. The fact that he is seeing other women tells me his feelings are still there for you, so it’s good you are getting along with him.",en,XGLM,2.9,40725.0,Informal,1.0,1355.0,2022-12-15T17:43:51.598161Z,2022-12-15T17:43:51.598161Z,11.175
22,Informal,If you were friends before and have stronger feelings now then it should be O>K>," But if not, I feel you have an obligation to get her back to your friend status. Even if you do not like her anymore, or had a fight and said some things you regret, you don't need to be this pushy and make her into an outsider.
As the other users have mentioned, if the relationship has truly ended then it is the best thing. However, if the situation is more complicated and you are not 100% sure or if you don't want to make her an outsider, then you should wait. It would be best for the relationship if you just let it run its course, but if it is important to you then you need to do something to make it work.",en,BLOOM,7.1,40724.0,Informal,1.0,1354.0,2022-12-15T17:43:40.274280Z,2022-12-15T17:43:40.274280Z,11.403
23,Informal,"I ALWAYS FELT THE SAME WAY, BUT I MET MY TRUE LOVE AND MY VIEWS", OF THIS LIE WERE NO LONGER ACCEPTED EVEN IF THEY WERE FROM MY FATHER!!!! THE LOVE I FOUND FOR THIS PERSON WILL NEVER BE DEEMED AGAINST ANYONE.,en,XGLM,2.9,40723.0,Informal,1.0,1353.0,2022-12-15T17:43:28.708506Z,2022-12-15T17:43:28.708506Z,20.563
24,Neutral,Do," you know your brother's work, or what's going on?
Yeah.
Well, uh...
I have to go back to my boyfriend.
This isn't you trying to put this off, is it?
No.
This is not you.
- I can help you, okay?
- Thank you, but...
- just go.
- Wait.
- Oh, fuck.
- What?
- Fucking stupid.
- I'm sorry.
I'm sorry, I'm sorry.
Oh, fuck, I just...
I don't like talking to you.
Can I have a minute?
I don't mean to sound selfish, but it's just that...
Just don't call me any more, okay?
Hey.
You don't look well.
No, I'm fine.
I'm fine.
- Your sister's",en,BLOOM,7.1,40722.0,Informal,1.0,1352.0,2022-12-15T17:43:07.988628Z,2022-12-15T17:43:07.988628Z,19.516
25,Formal,I'm only myself around men I'm not attracted to. I'm sure you understand the outcome.," I'm willing to try to change. If there is enough interest, we'll meet. Thanks for reading and I hope to hear from you. I'm not looking for a hookup, I just need someone to spend some time with. I'm not a creep so please avoid.
I need someone who I can be myself with. I don't care whether you're rich or poor. Someone with no kids is fine with me. I do have dogs who get along with kids as well as adults and the rest of the family. Just someone I can enjoy myself with. No strings attached.",en,BLOOM,3.0,40721.0,Informal,1.0,1351.0,2022-12-15T17:42:48.314236Z,2022-12-15T17:42:48.314236Z,11.897
26,Informal,After how much time can you conclude that it takes too long and she isn't, ready? In your defense I haven't heard her voice on any of the messages I sent. Reply With Quote Sponsored Links Remove Advertisements MigWeb.com Advertisements,en,XGLM,2.9,40720.0,Informal,1.0,1350.0,2022-12-15T17:42:36.262124Z,2022-12-15T17:42:36.262124Z,7.23
27,Informal,look in the internet u will find lots of things for the wedding or your," get ready. If you are looking for something fun to do with a group, check out our group get ready, our fun and stress free bridesmaids get ready and our bridal party get ready.
There are many more great things to do with your wedding party. You can find them here. Or if you’re looking to bring the fun to your day, consider an entertaining wedding entertainment, bridal shower or surprise wedding.
What if there was some extra money to save? How about if you could have a wedding in the place you want to have it? If you would like to get ready outside of the home, we can help with that. We even have a few other options you can consider. Have your wedding at a local park",en,BLOOM,3.0,40719.0,Informal,1.0,1349.0,2022-12-15T17:42:28.874379Z,2022-12-15T17:42:28.874379Z,78.914
