Prompt Formality,Model,Size(B),Generation Formality,Count
Formal,XGLM,7.5,Formal,78
Formal,XGLM,7.5,Informal,10
Formal,XGLM,7.5,Incohesive,12
-,-,-,-,100
Formal,XGLM,2.9,Formal,76
Formal,XGLM,2.9,Informal,9
Formal,XGLM,2.9,Incohesive,15
-,-,-,-,100
Formal,BLOOM,7.1,Formal,86
Formal,BLOOM,7.1,Informal,6
Formal,BLOOM,7.1,Incohesive,8
-,-,-,-,100
Formal,BLOOM,3,Formal,81
Formal,BLOOM,3,Informal,5
Formal,BLOOM,3,Incohesive,14
-,-,-,-,100
Informal,XGLM,7.5,Formal,21
Informal,XGLM,7.5,Informal,69
Informal,XGLM,7.5,Incohesive,10
-,-,-,-,100
Informal,XGLM,2.9,Formal,35
Informal,XGLM,2.9,Informal,55
Informal,XGLM,2.9,Incohesive,10
-,-,-,-,100
Informal,BLOOM,7.1,Formal,44
Informal,BLOOM,7.1,Informal,46
Informal,BLOOM,7.1,Incohesive,10
-,-,-,-,100
Informal,BLOOM,3,Formal,40
Informal,BLOOM,3,Informal,49
Informal,BLOOM,3,Incohesive,11
-,-,-,-,100
Neutral,XGLM,7.5,Formal,88
Neutral,XGLM,7.5,Informal,8
Neutral,XGLM,7.5,Incohesive,4
-,-,-,-,100
Neutral,XGLM,2.9,Formal,93
Neutral,XGLM,2.9,Informal,4
Neutral,XGLM,2.9,Incohesive,3
-,-,-,-,100
Neutral,BLOOM,7.1,Formal,81
Neutral,BLOOM,7.1,Informal,0
Neutral,BLOOM,7.1,Incohesive,19
-,-,-,-,100
Neutral,BLOOM,3,Formal,85
Neutral,BLOOM,3,Informal,0
Neutral,BLOOM,3,Incohesive,15
-,-,-,-,100
