Prompt Formality,Model,Size(B),Generation Formality,Count
Formal,XGLM,7.5,Formal,71
Formal,XGLM,7.5,Informal,23
Formal,XGLM,7.5,Incohesive,6
-,-,-,-,100
Formal,XGLM,2.9,Formal,75
Formal,XGLM,2.9,Informal,19
Formal,XGLM,2.9,Incohesive,6
-,-,-,-,100
Formal,BLOOM,7.1,Formal,71
Formal,BLOOM,7.1,Informal,25
Formal,BLOOM,7.1,Incohesive,4
-,-,-,-,100
Formal,BLOOM,3,Formal,82
Formal,BLOOM,3,Informal,16
Formal,BLOOM,3,Incohesive,2
-,-,-,-,100
Informal,XGLM,7.5,Formal,1
Informal,XGLM,7.5,Informal,82
Informal,XGLM,7.5,Incohesive,17
-,-,-,-,100
Informal,XGLM,2.9,Formal,0
Informal,XGLM,2.9,Informal,86
Informal,XGLM,2.9,Incohesive,14
-,-,-,-,100
Informal,BLOOM,7.1,Formal,7
Informal,BLOOM,7.1,Informal,79
Informal,BLOOM,7.1,Incohesive,14
-,-,-,-,100
Informal,BLOOM,3,Formal,12
Informal,BLOOM,3,Informal,81
Informal,BLOOM,3,Incohesive,7
-,-,-,-,100
Neutral,XGLM,7.5,Formal,61
Neutral,XGLM,7.5,Informal,31
Neutral,XGLM,7.5,Incohesive,8
-,-,-,-,100
Neutral,XGLM,2.9,Formal,46
Neutral,XGLM,2.9,Informal,49
Neutral,XGLM,2.9,Incohesive,5
-,-,-,-,100
Neutral,BLOOM,7.1,Formal,48
Neutral,BLOOM,7.1,Informal,51
Neutral,BLOOM,7.1,Incohesive,1
-,-,-,-,100
Neutral,BLOOM,3,Formal,45
Neutral,BLOOM,3,Informal,51
Neutral,BLOOM,3,Incohesive,4
-,-,-,-,100
