Prompt Formality,Model,Size(B),Generation Formality,Count
Formal,XGLM,7.5,Formal,33
Formal,XGLM,7.5,Informal,63
Formal,XGLM,7.5,Incohesive,4
-,-,-,-,100
Formal,XGLM,2.9,Formal,33
Formal,XGLM,2.9,Informal,64
Formal,XGLM,2.9,Incohesive,3
-,-,-,-,100
Formal,BLOOM,7.1,Formal,27
Formal,BLOOM,7.1,Informal,71
Formal,BLOOM,7.1,Incohesive,2
-,-,-,-,100
Formal,BLOOM,3,Formal,28
Formal,BLOOM,3,Informal,68
Formal,BLOOM,3,Incohesive,4
-,-,-,-,100
Informal,XGLM,7.5,Formal,15
Informal,XGLM,7.5,Informal,83
Informal,XGLM,7.5,Incohesive,2
-,-,-,-,100
Informal,XGLM,2.9,Formal,6
Informal,XGLM,2.9,Informal,93
Informal,XGLM,2.9,Incohesive,1
-,-,-,-,100
Informal,BLOOM,7.1,Formal,6
Informal,BLOOM,7.1,Informal,93
Informal,BLOOM,7.1,Incohesive,1
-,-,-,-,100
Informal,BLOOM,3,Formal,8
Informal,BLOOM,3,Informal,88
Informal,BLOOM,3,Incohesive,4
-,-,-,-,100
Neutral,XGLM,7.5,Formal,41
Neutral,XGLM,7.5,Informal,35
Neutral,XGLM,7.5,Incohesive,24
-,-,-,-,100
Neutral,XGLM,2.9,Formal,48
Neutral,XGLM,2.9,Informal,36
Neutral,XGLM,2.9,Incohesive,16
-,-,-,-,100
Neutral,BLOOM,7.1,Formal,40
Neutral,BLOOM,7.1,Informal,52
Neutral,BLOOM,7.1,Incohesive,8
-,-,-,-,100
Neutral,BLOOM,3,Formal,46
Neutral,BLOOM,3,Informal,52
Neutral,BLOOM,3,Incohesive,2
-,-,-,-,100
