Prompt Formality,Model,Size(B),Generation Formality,Count
Formal,XGLM,7.5,Formal,86
Formal,XGLM,7.5,Informal,13
Formal,XGLM,7.5,Incohesive,1
-,-,-,-,100
Formal,XGLM,2.9,Formal,85
Formal,XGLM,2.9,Informal,14
Formal,XGLM,2.9,Incohesive,1
-,-,-,-,100
Formal,BLOOM,7.1,Formal,83
Formal,BLOOM,7.1,Informal,16
Formal,BLOOM,7.1,Incohesive,1
-,-,-,-,100
Formal,BLOOM,3,Formal,77
Formal,BLOOM,3,Informal,22
Formal,BLOOM,3,Incohesive,1
-,-,-,-,100
Informal,XGLM,7.5,Formal,23
Informal,XGLM,7.5,Informal,72
Informal,XGLM,7.5,Incohesive,5
-,-,-,-,100
Informal,XGLM,2.9,Formal,19
Informal,XGLM,2.9,Informal,77
Informal,XGLM,2.9,Incohesive,4
-,-,-,-,100
Informal,BLOOM,7.1,Formal,3
Informal,BLOOM,7.1,Informal,92
Informal,BLOOM,7.1,Incohesive,5
-,-,-,-,100
Informal,BLOOM,3,Formal,9
Informal,BLOOM,3,Informal,85
Informal,BLOOM,3,Incohesive,6
-,-,-,-,100
Neutral,XGLM,7.5,Formal,60
Neutral,XGLM,7.5,Informal,23
Neutral,XGLM,7.5,Incohesive,17
-,-,-,-,100
Neutral,XGLM,2.9,Formal,67
Neutral,XGLM,2.9,Informal,18
Neutral,XGLM,2.9,Incohesive,15
-,-,-,-,100
Neutral,BLOOM,7.1,Formal,82
Neutral,BLOOM,7.1,Informal,16
Neutral,BLOOM,7.1,Incohesive,2
-,-,-,-,100
Neutral,BLOOM,3,Formal,87
Neutral,BLOOM,3,Informal,10
Neutral,BLOOM,3,Incohesive,3
-,-,-,-,100
